week	lakes	gr	po	tqg	time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	dm1	dm2	dm3	dm4
35	1	.3	1	19412	35	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
36	1	.3	1	20240	36	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
37	1	.3	1	11824	37	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
38	1	.3	1	17793	38	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
39	1	.3	1	20157	39	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
40	1	.3	1	18623	40	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
41	1	.3	1	19062	41	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
42	1	.3	1	20840	42	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
43	1	.3	1	18972	43	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
44	1	.3	1	19690	44	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
45	1	.3	1	20206	45	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
46	1	.3	1	23081	46	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
47	1	.3	1	21209	47	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
48	1	.35	1	13753	48	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
49	0	.35	1	14956	49	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
50	0	.35	1	13295	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
51	0	.35	1	16935	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
52	0	.35	1	24499	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
53	0	.35	1	20078	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
54	0	.35	1	24144	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
55	0	.35	1	26157	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
56	0	.35	1	22055	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
57	0	.35	1	21973	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
58	0	.35	1	23794	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
59	0	.35	1	23116	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
60	0	.35	1	23578	8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
61	0	.35	1	21568	9	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
62	0	.35	0	17494	10	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
63	0	.35	0	16260	11	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
64	0	.35	0	26690	12	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
65	0	.35	0	21723	13	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
66	0	.35	0	30625	14	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
67	0	.35	0	36618.5	15	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
68	0	.3	0	42182	16	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
69	0	.25	0	47432	17	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
70	0	.3	1	43822	18	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
71	0	.3	1	36457.63	19	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
72	0	.3	1	29093.34	20	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
73	1	.3	1	21729	21	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
74	1	.3	1	21265	22	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
75	1	.3	1	18505	23	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
76	1	.3	0	14540	24	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
77	1	.3	0	19366	25	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
78	1	.25	0	55732	26	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
79	1	.15	0	42346	27	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
80	1	.15	0	28960	28	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
81	1	.15	0	30434	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
82	1	.15	0	26139	30	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
83	1	.15	0	31075	31	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
84	1	.15	0	29433	32	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
85	1	.15	0	29136	33	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
86	1	.15	0	31126	34	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
87	1	.15	0	35384	35	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
88	1	.15	0	36701	36	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
89	1	.15	0	37771	37	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
90	1	.15	0	38247	38	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
91	1	.15	0	39518	39	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
92	1	.15	0	30603	40	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
93	1	.125	0	28383	41	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
94	1	.125	0	24678	42	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
95	1	.125	0	27839	43	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
96	1	.125	0	26767	44	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
97	1	.125	0	24041	45	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
98	1	.2	0	23355	46	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
99	1	.2	0	26491	47	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
100	1	.2	0	20900	48	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
101	0	.2	0	26410	49	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
102	0	.2	0	26195	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
103	0	.2	0	22427	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
104	0	.125	0	27535	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
105	0	.125	0	25738	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
106	0	.125	0	23429	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
107	0	.125	0	32745	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
108	0	.125	0	37950	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
109	0	.2	1	41466	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
110	0	.2	1	49276	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
111	0	.2	1	37850	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
112	0	.2	1	32893	8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
113	0	.2	1	24410	9	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
114	0	.2	1	15104	10	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
115	0	.2	1	13819	11	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
116	0	.25	1	22959	12	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
117	0	.25	1	14486	13	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
118	0	.25	1	15254	14	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
119	0	.25	1	16607	15	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
120	1	.25	1	17475	16	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
121	1	.25	1	12704	17	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
122	1	.25	1	14399	18	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
123	1	.25	1	12023	19	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
124	1	.25	1	9626	20	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
125	1	.25	1	6482	21	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
126	1	.25	1	10520	22	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
127	1	.25	1	12588	23	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
128	1	.25	1	12468	24	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
129	1	.25	1	10930	25	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
130	1	.25	1	10997	26	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
131	1	.25	1	8618	27	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
132	1	.25	1	4810	28	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
133	1	.25	1	5832	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
134	1	.25	1	8536	30	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
135	1	.25	1	11204	31	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
136	1	.25	1	10591	32	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
137	1	.25	1	9978	33	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
138	1	.25	1	9374	34	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
139	1	.25	1	19466	35	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
140	1	.25	1	23085	36	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
141	1	.25	1	18981	37	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
142	1	.25	1	16595	38	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
143	1	.25	1	13182	39	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
144	1	.25	1	11626	40	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
145	1	.25	1	12996	41	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
146	1	.25	1	14852	42	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
147	1	.25	1	11508	43	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
148	1	.25	1	12996	44	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
149	1	.25	1	17942	45	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
150	1	.25	1	15498	46	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
151	1	.25	1	18121	47	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
152	1	.25	1	17914	48	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
153	0	.3	1	21217	49	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
154	0	.3	1	22418	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
155	0	.3	1	26230	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
156	0	.3	1	26458	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
157	0	.3	1	36168	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
158	0	.3	1	30721	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
159	0	.3	1	41071	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
160	0	.3	1	28865	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
161	0	.3	1	29221	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
162	0	.3	1	22245	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
163	0	.3	1	20377	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
164	0	.3	0	36343	8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
165	0	.3	1	33227	9	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
166	0	.3	1	33806	10	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
167	0	.3	1	43998	11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
168	0	.3	1	45342	12	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
169	0	.3	1	45659	13	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
170	0	.3	1	30864	14	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
171	0	.3	1	16522	15	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
172	1	.3	1	20085	16	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
173	1	.25	0	18262	17	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
174	1	.25	0	19415	18	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
175	1	.25	1	22792	19	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
176	1	.25	1	23903	20	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
177	1	.25	1	14761	21	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
178	1	.25	1	10901	22	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
179	1	.25	1	14868	23	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
180	1	.25	1	17271	24	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
181	1	.25	1	16179	25	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
182	1	.25	1	15576	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
183	1	.25	1	12292	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
184	1	.25	1	7627	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
185	1	.25	1	9888	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
186	1	.25	1	11080	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
187	1	.25	1	13782	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
188	1	.25	1	15181	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
189	1	.25	1	11906	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
190	1	.25	1	14763	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
191	1	.25	1	22934	35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
192	1	.25	0	23252	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
193	1	.2	0	25164	37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
194	1	.2	1	33879	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
195	1	.25	1	32428	39	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
196	1	.25	1	31256	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
197	1	.25	1	27805	41	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
198	1	.25	1	34663	42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
199	1	.25	1	30187	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
200	1	.25	1	27277	44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
201	1	.25	1	29521	45	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
202	1	.25	1	31280	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
203	1	.25	1	30601	47	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
204	1	.25	1	31553	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
205	0	.3	1	42735	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
206	0	.3	1	28241	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
207	0	.3	1	29221	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
208	0	.3	1	27894	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
209	0	.3	1	21911	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
210	0	.3	1	16685	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
211	0	.2	1	23504	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
212	0	.3	1	41210	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
213	0	.3	1	35058	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
214	0	.3	1	27065	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
215	0	.3	0	29404	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
216	0	.3	0	25269	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
217	0	.3	0	29219	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
218	0	.3	0	29291	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
219	0	.3	0	29217	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
220	0	.3	0	32643	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
221	0	.2	0	37902	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
222	0	.15	0	53282	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
223	0	.15	0	70793	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
224	0	.15	0	76407	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
225	0	.15	0	65944	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
226	0	.15	0	51242	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
227	1	.15	0	42464	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
228	1	.15	0	36603	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
229	1	.15	0	32376	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
230	1	.15	0	37927	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
231	1	.15	0	37905	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
232	1	.15	0	34782	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
233	1	.15	0	43146	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
234	1	.15	1	38104	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
235	1	.2	1	41901	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
236	1	.2	1	25829	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
237	1	.2	1	15480	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
238	1	.2	1	18461	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
239	1	.25	0	20716	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
240	1	.25	0	14492	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
241	1	.25	0	13004	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
242	1	.25	0	16754	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
243	1	.25	0	23268	35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
244	1	.15	0	18972	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
245	1	.15	0	15531	37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
246	1	.15	0	17154	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
247	1	.15	0	23416	39	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
248	1	.15	0	26541	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
249	1	.15	1	33592	41	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
250	1	.25	1	36235	42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
251	1	.25	1	22372	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
252	1	.25	1	23876	44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
253	1	.25	1	31600	45	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
254	1	.25	0	31419	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
255	1	.25	1	27814	47	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
256	1	.25	1	32530	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
257	1	.25	1	33624	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
258	0	.25	1	34718	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
259	0	.25	1	35812	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
260	0	.25	1	26844	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
261	0	.25	1	16938	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
262	0	.2	1	19362	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
263	0	.2	0	29761	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
264	0	.2	0	43777	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
265	0	.2	0	32995	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
266	0	.2	1	50340	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
267	0	.25	1	52131	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
268	0	.25	1	30913	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
269	0	.25	1	22887	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
270	0	.25	1	30911	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
271	0	.25	0	36354	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
272	0	.2	0	38989	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
273	0	.2	0	47087	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
274	0	.2	0	44805	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
275	0	.2	0	46694	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
276	0	.2	0	54188	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
277	0	.2	0	40650	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
278	0	.2	0	34674	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
279	0	.2	0	27430	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
280	0	.15	0	53360	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
281	1	.15	0	43018	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
282	1	.15	0	33691	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
283	1	.15	0	27424	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
284	1	.15	0	30120	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
285	1	.15	0	30488	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
286	1	.15	0	31223	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
287	1	.15	0	21562	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
288	1	.15	0	24892	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
289	1	.15	0	20864	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
290	1	.15	0	19128	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
291	1	.2	0	9778	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
292	1	.2	0	7528	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
293	1	.2	0	15773	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
294	1	.15	0	10737	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
295	1	.15	0	20881	35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
296	1	.15	0	20970	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
297	1	.15	0	22835	37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
298	1	.15	0	30986	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
299	1	.15	0	35308	39	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
300	1	.15	0	40034	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
301	1	.15	0	44776	41	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
